Sales	SqFt	Inv	Adv	Pop	MedInc
266.8	2.8	338.3	10.4	11.9	45.5
217.1	2.1	368.4	8.4	15.5	42.3
289.5	4.6	457.8	14.1	8.4	47.9
148.6	3	228.2	14.5	10.6	53.6
191.8	3.9	454.6	11.7	22.8	51.5
244.2	2.4	275.2	12	16	47.3
198.2	4.9	504.6	11.5	15.3	52.7
279.7	4.4	547.9	9.8	21.9	51.7
160.5	2.9	520.8	5.7	5.7	44.9
148.2	2.6	560	6.1	14	42.6
201.5	4.2	480.5	8.9	18.3	45.2
30.7	3.8	393.2	5.1	10.8	36.5
340	4.2	497.4	5.7	16.4	46.5
318.8	2.4	338.3	8.3	24.5	47.3
272.6	4.4	347	12.4	16.9	53.2
156.3	2.1	563.2	13.8	12.3	54.2
185.2	3	414.2	6.8	15.3	43.6
282.8	2.7	385.7	10.4	20.2	44.8
275.2	3.9	494.9	10.3	11.5	52.1
255.4	2.5	511.6	7.8	17.1	47.7
182.6	3.8	360.9	11.6	16.1	52.7
208.5	4.8	548.7	12.3	7.9	48.4
330	4.3	577.9	10.2	18.1	43.3
171	2.5	459	10.1	6.5	47.5
282	4.6	477.5	5.4	22.5	36.5
244	3.5	532.3	7.5	5.4	43
124.5	2.8	307.2	9.3	17.1	45.5
203.6	3.9	431.5	6.2	16.1	43.1
237.1	4.3	524.5	6.8	7.6	45.2
167.3	2.9	559	7.9	6.5	46.8
249.1	4	321.4	11.7	23.7	46
175.5	2.2	341.5	11	14.7	48.3
259.3	4.3	421.2	13	15.6	45.8
208.4	4.1	593.6	12.3	5.3	48.6
194.1	4.7	451.9	7.1	6.3	42.6
282.2	3.1	319.2	14.4	23.6	52.3
168.1	4.4	482	12.3	6.2	53.8
304.1	4.5	387.8	14	22.4	51.5
177.2	3.1	526.6	10.3	8.9	51.9
251.3	3.2	406.2	8.6	13.8	47.8
252.3	3.2	529.2	9.3	16.2	46
392.4	2.1	566	6.1	24.9	45.2
231.8	5	388.6	9.7	5.2	44.9
126.5	3.5	391.3	11.5	6.6	47.4
186.1	3.5	401.8	9.3	8.1	42.2
235	4.4	442.5	11.3	15.1	49.1
201.5	4.6	529.7	14.9	19.1	54.4
219.1	3.8	528.1	5.8	24.2	45.7
225.3	4.2	371	8	9	47.7
238.6	4.2	440.2	9.7	8.1	50.2
418.7	3	438.4	11.3	22.8	48
269.7	2.5	485.8	7.4	13.2	39.6
161.5	4	499.6	8.7	6.5	43.1
179.9	2.8	288.9	13.9	7.3	56.6
125.4	2.5	467.3	7.1	6.5	39
196.1	2.4	370.6	13.6	24.1	47.2
275.7	3.4	409.8	7.5	13.5	44.8
218.4	3.4	560.7	10.5	15.4	48.5
182.1	2.4	460.1	9.6	10.7	44.4
357.9	3.7	471.9	13.8	23.4	51.8
167	2.9	290.8	9.5	15.8	47.9
211.9	4.3	506.7	9.4	16.9	43.2
274.9	2.1	470	6.5	18.3	44.6
177.5	2.1	418.1	9.8	17.1	47.2
146.2	3.7	318.6	8.5	9.7	42.9
221.4	2.8	532.3	6.1	16.1	41.5
214.1	4.5	616	7.3	10.9	42.5
243.4	3.1	366.5	11.2	5.8	44.1
248.1	3.1	444.6	13.3	10.6	51.8
206.8	2.1	423	11.6	15	53
151.5	3.5	427.7	9	10.7	46.6
